hg_stock_id,video_id
HGFA89D13029CD6244DAAF10634E09A9D226,FgYpk6G-asg
HGFAD8C6A653696B4A0A83E5E7C8624E932B,SVVlyLEguO4
HGFA58528D3B5FE146DA8B4D0ED651D14978,7fSpulV_0Y0
HGFA4A952CDB3D804C43808460D2DC81E976,Ua7UBOrgoKU
HGFA7611899ACC074213BA3E5DEEB138B162,LuGZFckd_Gw
HGFAF86B892A636E4C9AB94ADBF0D6768BB0,9BQDOJq3b68
HGFAAC5FA615AA8046A690F54E87350AD03E,21bGSNcU31Q
HGFA3258691994BD4DECB36023DC64C31DB6,GHYwHIAkhRU
HGFA6225DBA536E74B4B9858726D9C366B2A,Ff1znM1lUNQ
HGFAE2DA46E619524EFBB04FE35078B40136,VUjzwPBm6ro
HGFA5AD0FE24AA6E4B6785377EC4DBDEF8CE,LIJMlLi5ID8
HGFA9415BADAA955456DA92D91D282C67E09,Vn7-y38jA3U
HGFA5F8BE26FF32941268BDE5FAF0F080618,LCMgbNTL_-4
HGFACECB984131144C7FBBD7F427961C73D6,7h-5vKoAgl4
HGFA2069FFD97F864CBAA0FE8B847C97BE80,DLAbWzj0CEg
HGFA15141CC071F14022A5D8368D951C4391,GjJ7YjQKZEQ
HGFA39DAF9DC2BE24A09963CC1054E1B04F8,Qyz_2xcbW0I
HGFAA82B23C68A264703A9BF988DD00285B7,H5JaOL8CswY
HGFA7AE949E474D74451BFCB09D688FC72F2,5ZDRG7XuFQ8
HGFAA6423FF6F6F649549F8C94E95AEE5591,SC-Sj3OuymE
HGFA2F6F7049627949E585AFB3F3785525D5,PStFqyAIDA8
HGFA16B80070328246F5AC2A2DA8D4086B61,9EI1hSgTGTk
HGFAB3200FC0F68D467C9C49A060F77AF567,HFxYuVLYSF4
HGFAA67DA9C3DAC74CC0B57CCC207AFACBF1,IIRDKq51nR8
HGFAE5C5DC8E6DF540E39624D63AAA11DB8B,DIcPmqIo0R8
HGFA616F6DAAEC09458D855DBA22C11CAACB,R80_jAFhk98
HGFA9E62D452CE9147DBA30F92AFD7B588A8,4RXpx6MP9kE
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,I-lufjqIgpM
HGFA2009A9D985C24C7398FAA7879C97E017,8rU29siggfY
HGFA3258691994BD4DECB36023DC64C31DB6,WuUpxpVlEYA
HGFA6A224846BE8C42638D20767AC7EAF74F,M9W-kjxBZG8
HGFAD7AFB54B56F74132ADC8E6DE01705E55,TiVI7oSGm-I
HGFAE3B3D25A76AD494F863B504C2512F4CD,Fyy49J0cu3I
HGFABA0A5ADA016A4E20ADD290ECCB8B923B,8GdbcJ_5VVQ
HGFA781266A2BD7A4A99915D908808FC495E,Rmd36gkUcZI
HGFA956EBF468F5F4219B512CAC3DD76B0CF,97CCArcEvRE
HGFA286305B50EA44AAD90B3533C25C80F7C,6syvzU3U6vE
HGFA71BDBA3742F844E9B8917055F6636E8E,HhI_qVLWIVU
HGFA9E62D452CE9147DBA30F92AFD7B588A8,9xTGX40yY8U
HGFAA6EDC1B7A6654C479EE219816BA26B03,IN_wyYB-t0U
HGFA3922D113E1364B348F9CCAF86B581601,H_Fu-jHxxqM
HGFA58932211521745B189FF41DA99F13FF3,GM9qxjlvV00
HGFA4A952CDB3D804C43808460D2DC81E976,9xBT5pdlafg
HGFAA9061FC75A954C69894331811239E077,EApf60ke7q0
HGFA520682EFDA4C4A5287C12BAF6B1E8264,N-BzUcsAWX8
HGFA436FE36DA97849BDB646C3927B9AAFB0,BVZnVzup1C4
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,4UmsumCkBTE
HGFA06D280B09BAB45F6BF810AA72DA0C436,FfsXehNfeRQ
HGFA6225DBA536E74B4B9858726D9C366B2A,6lF1MaBOSlM
HGFA3F68707B3EAC4DA88A103BE5E10D459D,BXcucvo3Lh8
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,DwY-0ym2csw
HGFAC0FA0DEAD7A54986BF945F16D5013B62,PsUa24vFg50
HGFA6DC8969456C1406FA665D87C153F0E70,PZKwMrjhvxI
HGFAA7A3D7CAD41E4BFE9C246CB559DBD453,FkfIIQUsa_0
HGFA520682EFDA4C4A5287C12BAF6B1E8264,KNfiNuPOco0
HGFA0929BB2F7901488DA20FC60F0EF90208,GJ2Z3qs4Gzo
HGFA5C0C36AE8A28466BB90518714B58461E,DKlsi9NPjoo
HGFA5F8BE26FF32941268BDE5FAF0F080618,NDRNnrn9aFE
HGFA2EED78F852364C8BA05C1F76D37928AB,23ATKcSfWoA
HGFAFEA6D21438B048D69744ABC63C8ADEB1,V8O1rszjzJo
HGFA40CA42735E8F4C4AA6B497F0753CD5A1,Tut1c9VoSjU
HGFA52B71676DD2B442EBDB3A141311A7CE8,Lslw62_0Zp0
HGFA56C132D3F225471FAD62F1BA961AB438,23ATKcSfWoA
HGFAD69445B1D3B74B379CC27B72D5B10663,VoHW2sYqM0k
HGFA2F6F7049627949E585AFB3F3785525D5,KjMoSk5tO8k
HGFACA9F16FC1BE245C787A2EE343D019F79,7wH-_Vlgm6s
HGFAF1772E93D8A343E1A0053486A35623EC,UJzl9wbnxjg
HGFA694CCF06BA5B4B86923625204044B0C1,IRgVnQ0w9YA
HGFA3B1B745A1E40432085F7523679E205DF,82Lpe9wMPX8
HGFAC7ABF0EDE81048B5B1CFB020D2DCB831,WuO8soa6wqI
HGFA694CCF06BA5B4B86923625204044B0C1,SDnrMQGWTAs
HGFA83EB95A87F8D48C9A9E5FC5488C79A27,TfEXCso3e20
HGFAA6423FF6F6F649549F8C94E95AEE5591,QnSc0vAPmh0
HGFA7296E0DA10134C3BA3C41DD8D4C4757A,Fyy49J0cu3I
HGFAB0DE9A9A30944C54963C96583EFB65DE,LdFecDNWjNE
HGFA8D07AD827CCB4DE38198640E582B7664,FVEQBwTBh68
HGFA520682EFDA4C4A5287C12BAF6B1E8264,Gt8o9azpjpU
HGFA7611899ACC074213BA3E5DEEB138B162,DF3Y7-bXF50
HGFAA71E84183AF04D3C9341DF3EB1EAD992,JkYP9qRxzs8
HGFAF89221E1DA2242C3BC23E309EB61E281,AOX73CxHmU8
HGFA04714260478849C5932ABE6ADAEC767E,OMPMOvWvVAI
HGFA881395E9CE194D2E89E61FEC38DC3422,TF3WgsqTLLo
HGFA1DB4B9BD16A74180B1719E3515283533,DIcPmqIo0R8
HGFA389BB36E61A44BEE874F5B0474423350,P3jVEm7_zhI
HGFA0929BB2F7901488DA20FC60F0EF90208,QsQJtrU6XQE
HGFA64BC0C8AC2054ABCB791189713958596,PUy5qoO-mm8
HGFA9CFEF8A442CA49C4BCB07CFC511A692D,HVqvpNgKQhA
HGFA9CFEF8A442CA49C4BCB07CFC511A692D,AIfY8DK1mfY
HGFA99530A045AF94A0099080C7275662305,UQF3z088INY
HGFA67104C533F4044C59135959D8F8A752E,G3zNkkPd4tM
HGFA2F6F7049627949E585AFB3F3785525D5,SS3feOVhGgM
HGFA25C60D18B3C34C46BABE883C4026BCFE,5WQCKRqpIFk
HGFA436FE36DA97849BDB646C3927B9AAFB0,5xzWQZtA0rI
HGFA25C60D18B3C34C46BABE883C4026BCFE,MMfiPccblJo
HGFAFFB79D89E9B94A278BF36320F254CABD,GhkXhljIW58
HGFAD8C6A653696B4A0A83E5E7C8624E932B,874cENperLg
HGFA8D07AD827CCB4DE38198640E582B7664,AluLLGTfmHA
HGFADC11FEB225EB4F3BA3F7744403F3CDBE,LYeaKKP35ew
HGFAB0DE9A9A30944C54963C96583EFB65DE,30fh78OJZgU
HGFA1E6EACD4DB914CC19A4C2B705571BCC6,6Pe7i7CSM5I
HGFA04714260478849C5932ABE6ADAEC767E,PPAHjy8JTck
